step,wall_time,mean_speed,mean_nnd,global_polarity,flock_radius,mean_reward
287,29.206,0.85913,1.89845,0.97734,13.43157,0.64228
288,29.305,0.85967,1.90096,0.97684,13.31882,0.64259
289,29.403,0.86017,1.90025,0.97585,13.20348,0.64372
290,29.495,0.85924,1.90068,0.97532,13.08444,0.64462
291,29.587,0.85867,1.8998,0.97472,12.96314,0.6455
292,29.682,0.85905,1.89645,0.97391,12.83848,0.64564
293,29.777,0.86055,1.88926,0.97321,12.71178,0.64441
294,29.872,0.8609,1.87991,0.97222,12.58264,0.64387
295,29.966,0.85895,1.87366,0.97134,12.45075,0.64248
296,30.061,0.85781,1.87111,0.97057,12.31729,0.64313
297,30.153,0.8569,1.87064,0.96975,12.18139,0.64206
298,30.249,0.85578,1.86877,0.96904,12.04425,0.64236
299,30.341,0.85625,1.86564,0.96834,11.90533,0.64148
300,30.436,0.85635,1.85935,0.96727,11.7645,0.6418
301,30.534,0.85601,1.85046,0.9666,11.62244,0.64242
302,30.627,0.85564,1.8411,0.96592,11.47931,0.64307
303,30.721,0.85489,1.83675,0.96527,11.33467,0.64383
304,30.801,0.85434,1.82989,0.96422,11.18843,0.64457
305,30.894,0.85395,1.82066,0.96354,11.04136,0.6451
306,30.974,0.85298,1.80312,0.96278,10.89334,0.64598
307,31.068,0.85062,1.77592,0.96243,10.74657,0.64723
308,31.148,0.84837,1.75304,0.9618,10.60026,0.64886
309,31.241,0.84741,1.72768,0.96123,10.45411,0.64815
310,31.337,0.84576,1.7154,0.9608,10.30784,0.64707
311,31.415,0.84359,1.709,0.96032,10.16159,0.64891
312,31.496,0.84129,1.70247,0.95984,10.01383,0.65089
313,31.578,0.84015,1.69956,0.95944,9.86759,0.65262
314,31.67,0.83918,1.69215,0.95868,9.72003,0.6539
315,31.75,0.83846,1.68834,0.95813,9.57235,0.65566
316,31.841,0.83858,1.68495,0.95784,9.42474,0.65696
317,31.923,0.83967,1.67574,0.95744,9.27763,0.65779
318,32.004,0.84015,1.65928,0.95704,9.13139,0.6585
319,32.091,0.83964,1.65016,0.95678,8.98626,0.65973
320,32.181,0.83901,1.6562,0.95648,8.8427,0.66085
321,32.275,0.83676,1.65416,0.95549,8.69998,0.66208
322,32.354,0.83556,1.64477,0.95509,8.55843,0.66296
323,32.432,0.83452,1.64582,0.95501,8.41873,0.6638
324,32.51,0.83289,1.65285,0.9548,8.28082,0.6636
325,32.589,0.83074,1.65476,0.95481,8.1455,0.6658
326,32.669,0.82654,1.64969,0.95417,8.01177,0.66818
327,32.748,0.82368,1.65307,0.95407,7.88024,0.6705
328,32.827,0.82013,1.65078,0.9539,7.7508,0.67231
329,32.906,0.81567,1.64096,0.95393,7.62418,0.67553
330,32.987,0.81216,1.62443,0.95414,7.50041,0.67629
331,33.08,0.80767,1.60098,0.95334,7.37847,0.67918
332,33.16,0.80373,1.584,0.95334,7.25973,0.68197
333,33.238,0.7987,1.55831,0.95314,7.14472,0.68628
334,33.318,0.79367,1.53841,0.95326,7.03286,0.68911
335,33.397,0.78863,1.52121,0.95364,6.92545,0.6913
336,33.477,0.7839,1.51137,0.95319,6.82116,0.69335
337,33.557,0.77807,1.50437,0.95342,6.72148,0.69569
338,33.637,0.77456,1.49398,0.9534,6.62593,0.69737
339,33.732,0.77046,1.48706,0.95318,6.53255,0.69908
340,33.813,0.76591,1.48348,0.95314,6.44281,0.69715
341,33.925,0.7604,1.47057,0.95282,6.35661,0.69812
342,34.021,0.75583,1.45587,0.95325,6.27283,0.6987
343,34.12,0.75186,1.43793,0.95322,6.19157,0.69937
344,34.212,0.74865,1.42289,0.95265,6.11242,0.69889
345,34.309,0.74503,1.41826,0.9528,6.03572,0.69847
346,34.404,0.74001,1.41416,0.9534,5.96348,0.69915
347,34.499,0.73552,1.40838,0.95334,5.89357,0.69989
348,34.594,0.73095,1.39968,0.95409,5.82693,0.70101
349,34.688,0.72871,1.38127,0.95443,5.76207,0.70158
350,34.782,0.72227,1.35768,0.95476,5.70136,0.70388
351,34.881,0.71987,1.33013,0.95487,5.64277,0.70269
352,34.973,0.71629,1.30885,0.95543,5.58732,0.7041
353,35.066,0.71159,1.29151,0.95506,5.53366,0.70492
354,35.153,0.70889,1.27554,0.95536,5.48147,0.70548
355,35.248,0.70667,1.25983,0.95616,5.43229,0.7067
356,35.326,0.70416,1.24445,0.95662,5.3843,0.70729
357,35.404,0.70306,1.23558,0.95701,5.33782,0.70787
358,35.483,0.70008,1.22998,0.95699,5.29244,0.70911
359,35.562,0.69731,1.23263,0.95745,5.24971,0.71062
360,35.642,0.69446,1.23841,0.95795,5.20718,0.71241
361,35.734,0.69243,1.24157,0.95813,5.16628,0.714
362,35.814,0.68952,1.22719,0.95844,5.12667,0.71564
363,35.913,0.68624,1.21616,0.95896,5.08611,0.71715
364,36.01,0.68297,1.20987,0.9587,5.04565,0.71775
365,36.113,0.68136,1.19901,0.9583,5.0066,0.71977
366,36.194,0.68024,1.18978,0.95836,4.96819,0.72072
367,36.294,0.67858,1.17506,0.95867,4.93066,0.7222
368,36.391,0.67754,1.16252,0.9592,4.89294,0.72415
369,36.483,0.67523,1.15287,0.95978,4.8552,0.72591
370,36.578,0.67418,1.14487,0.96012,4.81837,0.72731
371,36.66,0.67213,1.13614,0.9604,4.78078,0.72899
372,36.73,0.67121,1.12759,0.96041,4.74255,0.72896
373,36.81,0.67067,1.13073,0.96047,4.70419,0.7286
374,36.904,0.66865,1.13464,0.96066,4.6661,0.72813
375,36.981,0.66881,1.13354,0.96125,4.62756,0.72803
376,37.061,0.66857,1.1274,0.96097,4.58847,0.72786
377,37.155,0.66692,1.11674,0.96141,4.5503,0.7256
378,37.233,0.66856,1.10005,0.96256,4.51288,0.72492
